openapi_23.yaml: ['9.25e-01', '7.50e-02', '0.00e+00', '0.00e+00', '0.00e+00', '0.00e+00', '0.00e+00', '0.00e+00', '0.00e+00', '0.00e+00']
openapi_31.yaml: ['6.67e-01', '0.00e+00', '0.00e+00', '3.33e-01', '0.00e+00', '0.00e+00', '0.00e+00', '0.00e+00', '0.00e+00', '0.00e+00']
openapi_41.yaml: ['7.70e-01', '0.00e+00', '1.35e-02', '0.00e+00', '0.00e+00', '2.16e-01', '0.00e+00', '0.00e+00', '0.00e+00', '0.00e+00']
openapi_1.yaml: ['8.28e-01', '1.25e-02', '6.25e-03', '1.16e-01', '0.00e+00', '3.75e-02', '0.00e+00', '0.00e+00', '0.00e+00', '0.00e+00']
openapi_34.yaml: ['8.52e-01', '1.64e-02', '0.00e+00', '0.00e+00', '4.92e-02', '0.00e+00', '0.00e+00', '8.20e-02', '0.00e+00', '0.00e+00']
openapi_25.yaml: ['8.18e-01', '1.82e-01', '0.00e+00', '0.00e+00', '0.00e+00', '0.00e+00', '0.00e+00', '0.00e+00', '0.00e+00', '0.00e+00']
openapi_33.yaml: ['8.89e-01', '1.11e-01', '0.00e+00', '0.00e+00', '0.00e+00', '0.00e+00', '0.00e+00', '0.00e+00', '0.00e+00', '0.00e+00']
openapi_7.yaml: ['6.67e-01', '3.33e-01', '0.00e+00', '0.00e+00', '0.00e+00', '0.00e+00', '0.00e+00', '0.00e+00', '0.00e+00', '0.00e+00']
openapi_39.yaml: ['1.65e-01', '2.06e-02', '0.00e+00', '0.00e+00', '0.00e+00', '0.00e+00', '0.00e+00', '0.00e+00', '0.00e+00', '8.14e-01']
openapi_45.yaml: ['1.00e+00', '0.00e+00', '0.00e+00', '0.00e+00', '0.00e+00', '0.00e+00', '0.00e+00', '0.00e+00', '0.00e+00', '0.00e+00']
openapi_12.yaml: ['8.85e-01', '7.69e-02', '3.85e-02', '0.00e+00', '0.00e+00', '0.00e+00', '0.00e+00', '0.00e+00', '0.00e+00', '0.00e+00']
